2015-05-02T08:23:46.300Z,2015,05,34.45,25.78,13,5,mb,,,,0.8,us,us20002au8,2015-07-09T22:00:06.040Z,62km S of Ierapetra, Greece,earthquake,6.8,2,0.048,138,reviewed,ath,us
2015-06-09T21:49:46.700Z,2015,06,35.04,26.79,16,5.4,mww,,,,1.07,us,us20002ney,2015-08-10T13:08:27.040Z,52km ESE of Palaikastron, Greece,earthquake,5,3,,,reviewed,ath,us
2015-06-20T19:52:43.900Z,2015,06,343.082,262.262,15.25,5,mb,,45,0.804,0.86,us,us10002kjx,2015-09-01T00:53:52.040Z,84km SSE of Makry Gialos, Greece,earthquake,5.7,3.3,0.041,186,reviewed,us,us
2016-04-03T00:46:15.800Z,2016,04,34.19,25.73,9,5.1,mb,,,,0.99,us,us20005e7c,2016-06-17T21:45:11.040Z,90km S of Ierapetra, Greece,earthquake,5.4,3.3,0.042,186,reviewed,ath,us
2016-04-16T00:10:41.290Z,2016,04,349.371,257.577,10,5,mwr,,42,0.792,0.72,us,us20005ivy,2016-06-27T23:01:46.040Z,8km SSE of Ierapetra, Greece,earthquake,7.1,1.9,0.05,39,reviewed,us,us
2016-05-25T08:36:13.730Z,2016,05,349.521,262.106,10,5.3,mww,,42,0.978,1.28,us,us20005xrv,2016-08-03T22:33:44.040Z,25km ESE of Makry Gialos, Greece,earthquake,5.6,1.8,,,reviewed,us,us
2016-07-30T17:26:22.250Z,2016,07,352.905,229.493,23.39,5.2,mb,,25,1.587,1.18,us,us100068tv,2016-10-19T04:51:51.040Z,62km WSW of Platanos, Greece,earthquake,6.3,4,0.026,473,reviewed,us,us
2017-01-25T18:50:51.790Z,2017,01,353.583,264.196,56.63,5.2,mww,,41,1.252,0.91,us,us10007vdu,2017-04-19T18:31:00.040Z,23km NE of Palaikastron, Greece,earthquake,5.6,5.2,,,reviewed,us,us
2017-07-15T20:30:17.110Z,2017,07,34.925,254.294,9.93,5.3,mww,,39,0.571,0.6,us,us20009wn5,2017-07-23T05:04:22.343Z,25km WSW of Gra Liyia, Greece,earthquake,3.8,3.4,0.066,22,reviewed,us,us
2017-07-31T21:29:14.690Z,2017,07,345.158,240.577,39.02,5.3,mww,,43,1.03,0.8,us,us2000a30v,2017-10-18T01:54:12.040Z,86km SSE of Palaiochora, Greece,earthquake,7,5.7,0.083,14,reviewed,us,us
2019-01-10T18:24:41.280Z,2019,01,345.801,266.262,36.37,5,mb,,43,1.059,1.2,us,us2000j2mg,2019-04-02T20:51:02.040Z,76km SSE of Palaikastron, Greece,earthquake,6.4,6.5,0.05,129,reviewed,us,us
