Jingmen City,2839000,People's Republic of China,http://www.wikidata.org/entity/Q48
Kano,2828861,Nigeria,http://www.wikidata.org/entity/Q15
Omdurman,2805396,Sudan,http://www.wikidata.org/entity/Q15
Taichung,2803894,Taiwan,http://www.wikidata.org/entity/Q48
Qinhuangdao,2800000,People's Republic of China,http://www.wikidata.org/entity/Q48
Zigong,2800000,People's Republic of China,http://www.wikidata.org/entity/Q48
Mudanjiang,2790000,People's Republic of China,http://www.wikidata.org/entity/Q48
Brasília,2789761,Brazil,http://www.wikidata.org/entity/Q18
Huludao,2787000,People's Republic of China,http://www.wikidata.org/entity/Q48
Kaohsiung,2773533,Taiwan,http://www.wikidata.org/entity/Q48
Longyan,2770000,People's Republic of China,http://www.wikidata.org/entity/Q48
Ōsaka,2740202,Japan,http://www.wikidata.org/entity/Q48
Toronto,2731571,Canada,http://www.wikidata.org/entity/Q49
Chicago,2722389,United States of America,http://www.wikidata.org/entity/Q49
Chicago,2722389,United States of America,http://www.wikidata.org/entity/Q538
Rizhao,2720000,People's Republic of China,http://www.wikidata.org/entity/Q48
Kanpur,2701324,India,http://www.wikidata.org/entity/Q48
Baotou,2700000,People's Republic of China,http://www.wikidata.org/entity/Q48
Guayaquil,2698077,Ecuador,http://www.wikidata.org/entity/Q18
Taipei,2684567,Taiwan,http://www.wikidata.org/entity/Q48
Hohhot,2635000,People's Republic of China,http://www.wikidata.org/entity/Q48
Sanming,2630000,People's Republic of China,http://www.wikidata.org/entity/Q48
Chaozhou,2620000,People's Republic of China,http://www.wikidata.org/entity/Q48
Longnan,2614000,People's Republic of China,http://www.wikidata.org/entity/Q48
Antananarivo,2610000,Madagascar,http://www.wikidata.org/entity/Q15
Weihai,2596753,People's Republic of China,http://www.wikidata.org/entity/Q48
Santo Domingo,2581827,Dominican Republic,http://www.wikidata.org/entity/Q49
Chittagong,2581643,Bangladesh,http://www.wikidata.org/entity/Q48
Xuancheng,2580000,People's Republic of China,http://www.wikidata.org/entity/Q48
Pu'er City,2576000,People's Republic of China,http://www.wikidata.org/entity/Q48
Huzhou,2570000,People's Republic of China,http://www.wikidata.org/entity/Q48
Hulunbuir,2549000,People's Republic of China,http://www.wikidata.org/entity/Q48
Anshun,2543000,People's Republic of China,http://www.wikidata.org/entity/Q48
Medellín,2529403,Colombia,http://www.wikidata.org/entity/Q18
Belo Horizonte,2513451,Brazil,http://www.wikidata.org/entity/Q18
Lishui,2510000,People's Republic of China,http://www.wikidata.org/entity/Q48
Xianning,2506000,People's Republic of China,http://www.wikidata.org/entity/Q48
Dubai,2502715,United Arab Emirates,http://www.wikidata.org/entity/Q48
Luohe,2500000,People's Republic of China,http://www.wikidata.org/entity/Q48
Qingyang,2500000,People's Republic of China,http://www.wikidata.org/entity/Q48
Mirzapur,2496970,India,http://www.wikidata.org/entity/Q48
Luanda,2487444,Angola,http://www.wikidata.org/entity/Q15
Guangyuan,2484122,People's Republic of China,http://www.wikidata.org/entity/Q48
Binhai New Area,2482065,People's Republic of China,http://www.wikidata.org/entity/Q48
Cali,2471474,Colombia,http://www.wikidata.org/entity/Q18
Lusaka,2467467,Zambia,http://www.wikidata.org/entity/Q15
Daegu,2461002,South Korea,http://www.wikidata.org/entity/Q48
Fortaleza,2452185,Brazil,http://www.wikidata.org/entity/Q18
Guatemala City,2450212,Guatemala,http://www.wikidata.org/entity/Q49
Baoshan,2450000,People's Republic of China,http://www.wikidata.org/entity/Q48
Douala,2446945,Cameroon,http://www.wikidata.org/entity/Q15
Yaoundé,2440462,Cameroon,http://www.wikidata.org/entity/Q15
Antalya,2426356,Turkey,http://www.wikidata.org/entity/Q46
Antalya,2426356,Turkey,http://www.wikidata.org/entity/Q48
Tashkent,2424100,Uzbekistan,http://www.wikidata.org/entity/Q48
Huangshi,2419000,People's Republic of China,http://www.wikidata.org/entity/Q48
Huainan,2409000,People's Republic of China,http://www.wikidata.org/entity/Q48
Nagpur,2405665,India,http://www.wikidata.org/entity/Q48
Dandong,2400000,People's Republic of China,http://www.wikidata.org/entity/Q48
Shangluo,2400000,People's Republic of China,http://www.wikidata.org/entity/Q48
Bandung,2394873,Indonesia,http://www.wikidata.org/entity/Q48
Ghaziabad,2381452,India,http://www.wikidata.org/entity/Q48
Bekasi,2381053,Indonesia,http://www.wikidata.org/entity/Q48
Chongzuo,2369000,People's Republic of China,http://www.wikidata.org/entity/Q48
Lincang,2368000,People's Republic of China,http://www.wikidata.org/entity/Q48
Brisbane,2360241,Australia,http://www.wikidata.org/entity/Q538
Jiamusi,2360000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yangjiang,2357000,People's Republic of China,http://www.wikidata.org/entity/Q48
Nagoya,2325918,Japan,http://www.wikidata.org/entity/Q48
Fushun,2300000,People's Republic of China,http://www.wikidata.org/entity/Q48
Accra,2291352,Ghana,http://www.wikidata.org/entity/Q15
Laibin,2272000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yuxi,2264000,People's Republic of China,http://www.wikidata.org/entity/Q48
Tangerang,2237006,Indonesia,http://www.wikidata.org/entity/Q48
Taoyuan City,2220872,Taiwan,http://www.wikidata.org/entity/Q48
Adana,2220125,Turkey,http://www.wikidata.org/entity/Q46
Adana,2220125,Turkey,http://www.wikidata.org/entity/Q48
Yingkou,2220000,People's Republic of China,http://www.wikidata.org/entity/Q48
